cod;descricao;chave
1;PROPOFOL 1% 5X50ML P344/98 (PROVIVE) C1 UNIAO QUIMICA;13776
1;PROPOFOL 1% 5X50ML P344/98 (PROVIVE) UNIAO QUIMICA C1;13776
1;PROPOFOL 10MG/ML 50ML (UNIAO Q/CLARIS);13776
1;PROVIVE;13776
3;PROVIVE;13776
3;PROVIVE 1%;13776
1;PROVIVE 1% 50ML 5UN (C1);13776
1;PROPOFOL  10MG/ML 50ML (PROVIVE 1%)  [LISTA C1] (EMB. HOSP.) UNIAO QUIMICA CLARIS;13781
3;PROVIVE 10MG/ML, CAIXA COM 1 FRASCO AMPOLA COM 50ML DE;13781
1;PROPOFOL (C1) 10MG/ML CX C/ 1 FR 50ML - UNIAO QUIMICA - PROVIVE;13781
1;PROPOFOL 10 MG ML FA X 50 ML - PROVIVE  CX C\ 1 FA PROVIVE CLARIS;13781
1;PROPOFOL 10MG/ML FA;13781
3;PROPOFOL (INJETÁVEL 10 MG/ML);13781
3;PROPOFOL 10MG/ML (C1) 5 AMPOLAS;13781
1;PROVIVE (C1);13781
3;PROVIVE (PROPOFOL) (C1);13781
3;PROVIVE;13781
3;PROVIVE 1%;13781
1;*PROPOFOL 10MG 20ML CX C 5 AMP (PROVIVE 1%) (C1);13775
1;PROPOFOL  10MG/ML 20ML (PROVIVE 1%) IV UNIAO QUIMICA;13775
3;PROPOFOL (PROVIVE) 10MG/ML 20ML 5AMP UNIÃO QUÍMICA;13775
3;PROPOFOL 10MG/ML 20ML 5AMP PROVIVE UNIÃO QUÍMICA;13775
3;PROPOFOL INJETÁVEL 10 MG/ML COM 5 AMPOLAS DE 20 ML;13775
3;PROVIVE 10MG/ML, CAIXA COM 5 FRASCO AMPOLAS COM 20ML DE;13775
1;PROPOFOL  10MG/ML 20ML (PROVIVE 1%) UNIAO QUIMICA;13775
1;PROPOFOL  10MG/ML 20ML UNIAO QUIMICA;13775
3;PROPOFOL (PROVIVE) 10MG/ML CX 5FA 20ML UNIÃO QUIMICA;13775
3;PROPOFOL 10MG/ML 20ML (C1) (PROPOTIL) UNIAO QUIMICA;13775
1;PROPOFOL 1  10MG/ML F/A DE 20ML;13775
3;PROPOFOL TEUTO 10MG/ML, CAIXA COM 5 FRASCOS COM 20ML;13775
3;PROPOFOL 10MG/ML 20ML (C1) (PROPOVAN);13775
3;PROPOFOL 10MG/ML EMU INJ 20ML (GEN) CT C/ 5 FA/TEUTO/C1;13775
3;PROPOVAN 10MG/ML 20ML 10AMP (PROPOFOL) CRISTÁLIA;13775
1;PROPOFOL 1%;13775
3;PROPOFOL;13775
1;PROPOFOL 1% 10MG ML F A DE 20ML;13775
1;PROPOFOL 1% 10MG/ML 20ML LISTA C1 IV PROVIVE UNIAO QUIMICA;13775
3;PROVIVE 1% (PROPOFOL) 10MG/ML, 5FA 20ML, IV, P344/98 C1, AD/PED;13775
1;PROPOFOL 1% 5X20 ML P344/98 (PROVIVE) C1 UNIAO QUIMICA;13775
1;PROPOFOL 1% 5X20 ML P344/98 (PROVIVE) UNIAO QUIMICA C1;13775
1;PROPOFOL 1% 5X20 ML P344/98 (PROVIVE) UNIAO QUIMICA C1.;13775
1;PROPOFOL 10 MG / 20ML FABRICANTE: CLARIS P:344/98;13775
1;PROPOFOL 10 MG ML EMULSAO INJETAVEL AMPOLA 20ML;13775
1;PROPOFOL 10MG, INJETAVEL, 20ML;13775
1;PROPOFOL 10MG/20ML;13775
1;PROPOFOL 10MG/20ML - EMULSAO INJETAVEL - LISTA C1;13775
1;PROPOFOL 10MG/ML;13775
3;PROPOFOL (INJETÁVEL 10 MG/ML);13775
1;PROPOFOL 10MG/ML - 20ML;13775
3;PROPOFOL 10MG/ML 1% 5APX20ML IV ESTERIL P344/98 C1;13775
1;PROPOFOL 10MG/ML - 20ML - FRASCO/AMPOLA;13775
3;PROPOFOL 10MG/ML (C1) 5 AMPOLAS 20ML;13775
3;PROPOFOL FRESENIUS KABI 10MG/ML, CAIXA COM 5 AMPOLAS COM 20ML;13775
1;PROPOFOL 10MG/ML - UNIAO QUIM;13775
3;PROVIVE (PROPOFOL) 10MG/ML INJETÁVEL CAIXA COM 5 FRASCO;13775
1;PROPOFOL 10MG/ML 20ML;13775
3;PROPOFOL 10MG/ML GENÉRICO INJETÁVEL 20ML 5AMP CAMBER;13775
1;PROPOFOL 10MG/ML 20ML - UNIAO QUIM;13775
1;PROPOFOL 10MG/ML 20ML (UNIAO Q/CLARIS);13775
3;PROPOFOL 10MG/ML AMPOLA 20ML;13775
1;PROPOFOL 10MG/ML 20ML FA;13775
3;PROPOFOL 10 MG/ML EMU INJ CT 5 AMP VD INC X 20 ML BLAU FARMACÊUTICA;13775
1;PROPOFOL 10MG/ML 20ML FA (ITEM: );13775
3;OPONAP (PROPOFOL) 10MG/ML INJ IV C/5 FR AMP 20ML (C1);13775
3;PROPOFOL 10MG/ML 20ML 5AMP PROPOTIL MIDFARMA;13775
1;PROPOFOL 10MG/ML 20ML P 344 C1 UNIAO QUIMICA;13775
1;PROPOFOL 10MG/ML 20ML P344 C1 PROPOVAN UNIAO QUIMICA;13775
1;PROPOFOL 10MG/ML 20ML P344 C1 UNIAO QUIMICA;13775
1;PROPOFOL 10MG/ML AMP 20ML UNIAO QUIMICA;13775
1;PROPOFOL 10MG/ML CX 5AMP 20ML (C1)   PROVIVE;13775
3;PROPOFOL 10MG/ML 20ML (C1) (PROVIVE);13775
3;PROPOFOL 10MG/ML C/5AMP 20ML C1;13775
1;PROPOFOL 10MG/ML CX 5FA 20ML (C1)   PROVIVE;13775
1;PROPOFOL 10MG/ML EMULSAO INJETAVEL IV AMPOLA 20ML - UNIAO QUIM;13775
1;PROPOFOL 10MG/ML FA (ITEM: );13775
3;PROPOFOL 10MG/ML (C1) 5 AMPOLAS;13775
1;PROPOFOL 10MG/ML SOL. INJ. 20ML;13775
1;PROPOFOL 200MG/20ML AMP;13775
1;PROPOFOL 200MG/20ML AMP - UNIAO QUIM;13775
1;PROPOFOL 20ML 5FR - PROVIVE CX C  5 FA CX C  5 FA PROVIVE U QUIMICA;13775
1;PROPOFOL(PROVIVE)10MG/ML INJ 5FA 20ML*HS UNIAO (C1);13775
1;PROVIVE-1% 10MG/ML CX 5 AMP 20 ML;13775
3;PROPOFOL 10MG/ML 20ML CX 5AMP;13775
1;PROVIVE -1% 10MG/ML CX 5 AMP 20 ML;13775
1;PROVIVE (PROPOFOL) *C1* 10MG/ML INJ IV CX C/5 FA 20ML;13775
1;PROVIVE 1% 10 MG/ML IV AMP (C1) PROPOFOL (C1);13775
3;PROVIVE 10MG/ML, CAIXA COM 1 FRASCO;13775
1;PROVIVE 1% 10 MG/ML IV C/5 AMP (C1) PROPOFOL (C1);13775
3;PROVIVE 10MG/ML, CAIXA COM 5 FRASCO;13775
1;PROVIVE 1% 10MG/ML CX 5 FR-AMP;13775
1;PROVIVE 1% 10MG/ML CX 5 FR-AMP X 20ML IV;13775
1;PROVIVE 1% PROPOFOL 20ML 5UN (C1);13775
1;PROVIVE 10 MG/ML CX C/5FR 20ML (C1);13775
1;PROVIVE 10MG/ML 020MLX5(C1)(P);13775
1;PROVIVE 10MG/ML 20ML;13775
1;PROVIVE 10MG/ML 20ML FA;13775
1;PROVIVE 10MG/ML 5FA 20ML (PROPOFOL)(C1);13775
1;PROVIVE EMU INJ P344/98C1 CX C/5FR X20ML;13775
1;PROVIVE HOSP 10MG/ML 5X20ML;13775
3;PROPOFOL PROVIVE 10MG/ML 5X20ML*MEIZLER;13775
1;PROPOFOL 10MG/ML 10ML P344 C1 PROVIVE UNIAO QUIMICA;13774
3;PROPOFOL 10MG/ML 10ML (C1) (PROVIVE 1%) UNIAO QUIMICA;13774
3;PROVIVE 10MG/ML, CAIXA COM 5 FRASCO AMPOLAS COM 10ML DE;13774
1;PROPOFOL 10MG/ML C/5 X10ML AMP PROVIVE UNIAO (C1);13774
1;LOSARTANA POTASSICA 25MG C30 -;10784
3;LOSARTANA POTASSICA + HIDROCLOROTIAZIDA 100 + 25MG 30;10784
3;LOSARTANA POTASSICA + HIDROCLOROTIAZIDA 100/25MG;10784
1;TORLOS 25MG C/30 COMP;10784
3;TORLOS 25MG 30 COMPRIMIDOS;10784
3;TORLOS 25MG 30 COMPRIMIDOS REVESTIDOS;10784
3;TORLOS 25MG COM 30 COMPRIMIDOS;10784
1;TORLOS 25MG C/30 COMP REV-SIMILAR;10784
3;TORLÓS 25MG 30 COMPRIMIDOS REVESTIDOS;10784
3;TORLOS 25MG C 30COMP REV;10784
1;TORLOS 25MG CPR 1X30-SIMILAR;10784
1;NEBLOCK 5MG 60CPR NEBIVOLOL;5438
3;NEBLOCK 5MG, CAIXA COM 60 COMPRIMIDOS;5438
3;NEBLOCK 5 MG 60 COMPRIMIDOS;5438
3;NEBLOCK 5MG 60 COMPRIMIDOS;5438
3;NEBLOCK 5MG 60CPR;5438
3;NEBLOCK 5MG CX 60 COMP;5438
3;NEBLOCK CLORIDRATO DE NEBIVOLOL 5MG 60 COMPRIMIDOS;5438
1;OLMESARTANA MEDOXOMILA 20MG/OLMECOR CX 60 COMP;12365
1;NEBLOCK 5MG CX 30 COMP;5437
3;NEBLOCK 5MG, CAIXA COM 30 COMPRIMIDOS;5437
3;NEBLOCK 5MG 30 COMPRIMIDOS;5437
3;NEBLOCK 5MG COM 30 COMPRIMIDOS;5437
3;NEBLOCK 5MG TORRENT 30 COMPRIMIDOS;5437
3;NEBLOCK CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS;5437
1;CLORID NEBIVOLOL 5MG 30CPR TORRENT;5437
3;CLORID NEBIVOLOL 5MG 30CPR TORRENT GEN;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS GENÉRICO TORRENT;5437
3;CLORIDRATO DE NEBIVOLOL TORRENT 5MG, CAIXA COM 30 COMPRIMIDOS;5437
3;CLORIDRATO NEBIVOLOL 5MG 30 COMPRIMIDOS TORRENT;5437
1;CLORID NEBIVOLOL 5MG C/30;5437
3;CLORIDRATO DE NEBIVOLOL BIOLAB GENÉRICOS 5MG, CAIXA COM;5437
1;CLORID.NEBIVOLOL 5MG 30CPR;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30CPR GERMED;5437
3;CLORIDRATO DE NEBIVOLOL 5MG CAIXA COM 30 COMPRIMIDOS GENERICO;5437
3;CLORIDRATO NEBIVOLOL 5MG 30 COMPRIMIDOS;5437
1;CLORID.NEBIVOLOL 5MG C/30;5437
3;CLORIDRATO DE NEBIVOLOL 5MG TEUTO;5437
1;CLORID.NEBIVOLOL 5MG CX 30 COMP;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS ACHÉ GENÉRICO;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS BIOLAB GENERICOS;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS BIOLAB GENÉRICO;5437
3;CLORIDRATO DE NEBIVOLOL 5MG COM 30 COMPRIMIDOS;5437
3;CLORIDRATO DE NEBIVOLOL 5MG COM 30 COMPRIMIDOS GENÉRICO ACTAVIS;5437
1;CLORIDRATO DE NEBIVOLOL 5MG C/30 COMP/TORRENT;5437
3;CLORIDRATO DE NEBIVOLOL TORRENT 5MG CAIXA COM 30 COMPRIMIDOS;5437
3;CLORIDRATO DE NEBIVOLOL 5MG 30 COMPRIMIDOS TORRENT GENÉRICO;5437
3;CLORIDRATO DE NEBIVOLOL 5MG COM 30 COMPRIMIDOS GENERICO TORRENT;5437
3;CLORIDRATO DE NEBIVOLOL 5MG TORRENT 30 COMPRIMIDOS;5437
1;OLMESARTANA 20MG C/ 30 COMP TOR-GENERICO;12362
3;OLMESARTANA 20MG C/ 30 COMP TOR;12362
3;OLMESARTANA 20MG COM 30 COMPRIMIDOS TOR;12362
3;OLMESARTANA MEDOXOMILA 20MG 30 COMPRIMIDOS REVESTIDOS;12362
3;OLMESARTANA MEDOXOMILA 20MG 30 COMPRIMIDOS TORRENT GENÉRICO;12362
3;OLMESARTANA MEDOXOMILA 20MG COM 30 COMPRIMIDOS;12362
1;OLMESARTANA OLMECOR 20MG COMP/TORRENT;12362
1;OLMECOR 20MG CPR REV 1X30-SIMILAR;12364
1;OLMESARTANA 40MG  C/30;12372
1;OLMECOR 40 MG C  30 COMP REV;12374
3;OLMECOR 40MG, CAIXA COM 30 COMPRIMIDOS REVESTIDOS;12374
3;OLMECOR 40MG 30 COMPRIMIDOS;12374
3;OLMECOR 40MG 30 COMPRIMIDOS REVESTIDOS;12374
3;OLMECOR 40MG COM 30 COMPRIMIDOS;12374
3;OLMECOR 40MG TORRENT 30 COMPRIMIDOS;12374
1;OLMECOR 40 MG C/ 30 COMP REV-SIMILAR;12374
3;OLMECOR 40 MG C/ 30 COMP REV;12374
1;OLMECOR 40MG C/ 30 COMP;12374
3;OLMECOR OLMESARTANA MEDOXOMILA 40MG 30 COMPRIMIDOS;12374
1;OLMECOR 40MG C/30 COMP REV-SIMILAR;12374
